name,total,min_res,max_res,median_res,most_common,less_320,b_320_479,b_480_639,b_640_799,gte_800
dataset_detect_field,8291,256x256,4624x4608,1080x1080,"[('256x256', 3271), ('4032x3024', 1548), ('3072x2048', 761)]",39.5%,0.0%,0.0%,9.3%,51.3%
dataset_monoclass_powdery_mildew,6955,256x256,4624x4608,720x720,"[('256x256', 3271), ('4032x3024', 1548), ('720x720', 745)]",47.0%,0.0%,0.0%,10.7%,42.3%
Final Grape Leaf Disease Detection,6955,256x256,4624x4608,720x720,"[('256x256', 3271), ('4032x3024', 1548), ('720x720', 745)]",47.0%,0.0%,0.0%,10.7%,42.3%
